step,node_index,x,y,step_distance,cumulative_distance
0,0,52.363599,87.186678,0.0,0.0
1,6,245.163353,1.670554,210.914088,210.914088
2,1,407.241764,107.700235,193.679386,404.593474
3,7,436.275793,87.6135,35.305124,439.898599
4,8,597.599464,69.876961,162.295754,602.194352
5,2,901.198878,38.153666,305.252308,907.44666
6,4,852.086619,159.662397,131.058711,1038.50537
7,3,536.20204,332.197699,359.932629,1398.438
8,9,315.458974,448.321708,249.42391,1647.86191
9,5,337.216657,333.796395,116.573772,1764.435682
10,0,52.363599,87.186678,376.772634,2141.208315
