step,node_index,x,y,step_distance,cumulative_distance
0,0,52.363599,87.186678,0.0,0.0
1,307,14.467814,38.005864,62.087381,62.087381
2,335,40.375646,51.548467,29.233847,91.321229
3,247,89.690852,42.731732,50.09715,141.418379
4,128,164.769539,46.621071,75.17936,216.597739
5,203,163.355696,26.714826,19.956391,236.55413
6,398,177.216706,16.310927,17.331149,253.885279
7,151,212.01111,25.966292,36.109232,289.994511
8,142,241.311528,37.556658,31.509539,321.50405
9,6,245.163353,1.670554,36.092229,357.596279
10,235,338.218093,22.660849,95.392752,452.989031
11,23,374.521632,31.841307,37.446332,490.435363
12,63,386.246163,62.055765,32.409537,522.8449
13,380,347.429665,83.569953,44.37996,567.22486
14,106,388.418155,107.465904,47.445472,614.670332
15,60,389.259267,126.469959,19.022659,633.692992
16,472,391.089144,126.386696,1.83177,635.524762
17,1,407.241764,107.700235,24.70002,660.224782
18,43,420.357317,108.620834,13.147822,673.372604
19,456,428.022044,102.936123,9.542745,682.91535
20,7,436.275793,87.6135,17.404228,700.319578
21,355,465.987787,98.543785,31.658706,731.978284
22,490,497.068111,64.926026,45.783625,777.761909
23,454,481.34045,40.279597,29.237061,806.99897
24,341,500.087249,32.969757,20.121536,827.120506
25,299,500.133341,5.240965,27.72883,854.849336
26,376,611.112702,25.748791,112.858272,967.707608
27,31,628.317523,12.829109,21.515669,989.223277
28,313,665.573412,32.661268,42.205638,1031.428914
29,432,687.275646,5.659697,34.642052,1066.070966
30,39,751.650158,44.129856,74.99354,1141.064506
31,68,791.109158,28.258034,42.531487,1183.595993
32,169,851.357228,5.315298,64.46859,1248.064583
33,229,828.067588,64.918532,63.991819,1312.056402
34,182,814.652198,57.955135,15.114946,1327.171348
35,170,788.833699,86.306612,38.34581,1365.517158
36,324,704.274971,64.114547,87.422344,1452.939501
37,124,687.989309,62.635644,16.352674,1469.292175
38,173,661.305632,59.62547,26.852928,1496.145104
39,199,634.905552,70.608483,28.593545,1524.738649
40,8,597.599464,69.876961,37.313259,1562.051907
41,420,574.164268,92.267641,32.412204,1594.464111
42,213,553.716614,119.378013,33.957015,1628.421126
43,70,514.71914,137.371498,42.948439,1671.369565
44,489,584.393094,158.205475,72.722173,1744.091739
45,367,632.673375,134.872027,53.623086,1797.714824
46,256,658.076254,103.932664,40.031867,1837.746692
47,179,671.586008,89.403068,19.839925,1857.586617
48,92,695.782174,122.316321,40.850173,1898.43679
49,292,711.175991,143.711577,26.357667,1924.794457
50,343,702.928024,151.706787,11.487052,1936.281509
51,378,665.809987,161.272998,38.33094,1974.612449
52,26,658.074157,170.126888,11.757314,1986.369763
53,466,627.784138,198.808361,41.714652,2028.084415
54,401,637.707552,231.740317,34.394591,2062.479006
55,36,629.99071,233.373184,7.887707,2070.366712
56,208,604.693279,270.45034,44.885136,2115.251848
57,165,592.823175,324.864237,55.69355,2170.945399
58,29,573.168515,336.106099,22.642552,2193.587951
59,155,560.485469,390.086823,55.450682,2249.038633
60,498,582.267594,382.484633,23.070636,2272.109269
