step,node_index,x,y,step_distance,cumulative_distance
0,0,52.363599,87.186678,0.0,0.0
1,40,134.727601,193.17697,134.230291,134.230291
2,77,197.094869,199.499345,62.686909,196.9172
3,80,85.100029,317.028203,162.344931,359.262131
4,44,62.608775,355.061447,44.185792,403.447922
5,99,62.44219,414.727355,59.666141,463.114063
6,45,88.788905,433.200314,32.177626,495.291689
7,28,73.290778,456.76707,28.206098,523.497786
8,46,8.561215,535.801019,102.158119,625.655906
9,89,126.106229,634.782754,153.669172,779.325078
10,58,146.139234,655.931717,29.130738,808.455816
11,64,136.015791,668.447137,16.097199,824.553015
12,47,73.483993,694.205915,67.629435,892.18245
13,11,142.175064,790.071844,117.93532,1010.11777
14,93,52.435371,861.647073,114.787743,1124.905513
15,12,21.235975,911.150548,58.514924,1183.420438
16,98,180.676053,977.230443,172.59111,1356.011547
17,15,343.462158,801.496591,239.544782,1595.556329
18,65,349.539686,871.077208,69.845533,1665.401863
19,72,369.000548,893.43356,29.640035,1695.041898
20,48,404.207267,985.348175,98.42667,1793.468568
21,69,521.590772,871.394668,163.597949,1957.066517
22,17,527.074952,809.338525,62.298003,2019.36452
23,83,534.183414,786.080054,24.320499,2043.685019
24,62,629.617625,802.276646,96.798855,2140.483874
25,97,753.713959,820.478126,125.424057,2265.907931
26,21,666.657631,890.098571,111.47112,2377.37905
27,66,740.164509,980.439147,116.46751,2493.84656
28,25,820.190184,913.645912,104.237445,2598.084005
29,35,991.7931,964.059172,178.85485,2776.938855
30,78,995.265014,890.808702,73.332705,2850.27156
31,52,969.686077,883.880138,26.500698,2876.772258
32,82,929.374321,809.019431,85.024485,2961.796743
33,59,915.823194,776.13297,35.568981,2997.365724
34,90,898.268251,790.526029,22.701017,3020.066741
35,14,837.837644,768.794747,64.219209,3084.285951
36,34,909.153276,638.800839,148.271155,3232.557106
37,61,974.929566,517.103487,138.3357,3370.892806
38,38,991.957773,444.49992,74.573706,3445.466513
39,86,832.777044,577.944173,207.715847,3653.18236
40,19,769.27909,512.752134,91.005452,3744.187811
41,20,684.837219,638.353264,151.347526,3895.535337
42,91,609.157786,494.474421,162.568441,4058.103779
43,57,518.696125,537.536378,100.188044,4158.291823
44,71,500.122511,545.457741,20.192254,4178.484077
45,22,486.13647,668.470222,123.805007,4302.289084
46,33,531.997491,723.663351,71.760119,4374.049203
47,84,483.959038,730.560328,48.531034,4422.580237
48,53,419.037819,717.717907,66.179244,4488.759482
49,94,361.841075,668.947293,75.166751,4563.926232
50,51,348.367021,639.127937,32.722227,4596.648459
51,81,341.144246,537.681998,101.702739,4698.351198
52,16,206.862471,608.902526,151.999864,4850.351062
53,79,194.163295,564.62449,46.063147,4896.41421
54,88,224.149807,501.257553,70.10392,4966.51813
55,49,262.54002,472.51074,47.960272,5014.478401
56,9,315.458974,448.321708,58.185264,5072.663666
57,42,271.929852,434.268584,45.74139,5118.405055
58,41,256.362347,352.04753,83.681831,5202.086886
59,18,315.263152,398.238151,74.852377,5276.939263
60,75,322.057227,398.170181,6.794415,5283.733677
61,27,336.916153,391.193307,16.415372,5300.14905
62,5,337.216657,333.796395,57.397699,5357.546749
63,73,340.080851,271.751388,62.111081,5419.65783
64,32,351.913683,229.129764,44.233683,5463.891513
65,95,420.76167,358.670557,146.699905,5610.591418
66,87,486.119958,395.813315,75.175065,5685.766483
67,3,536.20204,332.197699,80.963953,5766.730436
68,29,573.168515,336.106099,37.172514,5803.902951
69,67,668.834354,303.805779,100.971598,5904.874549
70,54,679.051952,372.109619,69.063839,5973.938388
71,50,750.814941,334.830541,80.868142,6054.80653
72,96,770.285967,343.033283,21.128318,6075.934848
73,85,776.954442,256.851738,86.439153,6162.374001
74,24,754.173172,181.464916,78.753789,6241.12779
75,4,852.086619,159.662397,100.31148,6341.439269
76,10,905.398652,92.764561,85.542348,6426.981617
77,76,938.262489,80.361813,35.126342,6462.107959
78,2,901.198878,38.153666,56.171513,6518.279473
79,56,878.908937,57.159213,29.29253,6547.572002
80,68,791.109158,28.258034,92.434189,6640.006192
81,39,751.650158,44.129856,42.531487,6682.537679
82,31,628.317523,12.829109,127.242586,6809.780265
83,8,597.599464,69.876961,64.792411,6874.572676
84,92,695.782174,122.316321,111.309168,6985.881844
85,26,658.074157,170.126888,60.891254,7046.773098
86,36,629.99071,233.373184,69.200969,7115.974066
87,13,573.408086,265.321705,64.979238,7180.953304
88,74,506.301487,203.272051,91.397238,7272.350543
89,37,483.811483,177.589731,34.13769,7306.488233
90,70,514.71914,137.371498,50.722673,7357.210905
91,7,436.275793,87.6135,92.893579,7450.104485
92,43,420.357317,108.620834,26.357276,7476.461761
93,1,407.241764,107.700235,13.147822,7489.609583
94,60,389.259267,126.469959,25.993706,7515.603289
95,63,386.246163,62.055765,64.484628,7580.087917
96,23,374.521632,31.841307,32.409537,7612.497454
97,6,245.163353,1.670554,132.830112,7745.327566
98,55,234.963437,78.376478,77.381116,7822.708682
99,30,189.06187,88.157295,46.932061,7869.640743
100,0,52.363599,87.186678,136.701717,8006.34246
